,tag,a,b,c,h1,h2
1,computer-vision,11417,12009,11417,0.9507036389374636,1.0
4,image-segmentation,278,1798,11417,0.1546162402669633,0.024349654024700008
8,camera-calibration,308,1068,11417,0.2883895131086142,0.0269773145309626
9,matlab-cvst,286,609,11417,0.4696223316912972,0.0250503634930367
12,object-detection,497,3026,11417,0.16424322538003966,0.043531575720416923
98,feature-detection,144,864,11417,0.16666666666666666,0.012612770430060436
132,yolo,130,910,11417,0.14285714285714285,0.011386528860471227
133,sift,137,772,11417,0.17746113989637305,0.011999649645265831
144,image-recognition,132,1268,11417,0.10410094637223975,0.0115617062275554
